ID,Name,Address,Borough,Postcode,Reviews,Price for 3 Nights (£),Lat,Long
58,The Fielding Hotel,"4 Broad Court, Bow Street, Covent Garden",Westminster,WC2B 5QZ,4.3,738,NaN,NaN
59,Kimpton Fitzroy London,"1-8 Russell Square, Bloomsbury",Camden,WC1B 5BE,4.6,887,NaN,NaN
60,Club Quarters Lincoln's Inn Fields,61 Lincoln's Inn Fields,Camden,WC2A 3JW,4.4,488,NaN,NaN
61,Staybridge Suites London,100 Vauxhall Walk,Lambeth,SE11 5EL,4.7,560,NaN,NaN
62,SACO Fitzrovia,21 Tottenham Street,Camden,W1T 2AW,4.5,517,NaN,NaN
63,InterContinental London Park Lane,"1 Hamilton Place, Park Lane",Westminster,W1J 7QY,4.5,910,NaN,NaN
64,The May Fair,"Stratton Street, Mayfair",Westminster,W1J 8LT,4.3,905,NaN,NaN
65,The Cadogan,"75 Sloane Street, Chelsea",Kensington & Chelsea,SW1X 9SG,4.8,2429,NaN,NaN
66,"The Waldorf Hilton, London",Aldwych,Westminster,WC2B 4DD,4.2,852,NaN,NaN
67,Radisson Blu Edwardian Bloomsbury Street Hotel,"9-13 Bloomsbury Street, Bloomsbury",Camden,WC1B 3QD,4.3,483,NaN,NaN
68,The Piccadilly London West End,"65-73 Shaftesbury Avenue, Piccadilly",Westminster,W1D 6EX,4.1,901,NaN,NaN
69,Flemings Mayfair,"7-12 Half Moon Street, Mayfair",Westminster,W1J 7BH,4.3,1046,NaN,NaN
70,Hampton by Hilton London Waterloo,"157 Waterloo Road, Waterloo",Lambeth,SE1 8XA,4.4,346,NaN,NaN
